s2_patch_path,s1_patch_path,patch_id
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0000.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0000_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0000
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0001.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0001_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0001
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0002.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0002_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0002
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0003.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0003_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0003
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0004.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0004_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0004
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0005.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0005_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0005
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0006.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0006_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0006
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0007.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0007_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0007
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0008.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0008_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0008
/Users/dakshanjaria/Kenya AOI/Sentinel2_Patches/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0009.tif,/Users/dakshanjaria/Kenya AOI/S1_Clipped_All/S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0009_S1_match.tif,S2A_MSIL2A_20220126T075211_N0510_R135_T36MXE_20240506T080815_patch_0009
